區域,廠區,客戶別,Ngày tháng,產品類型,Linh kiện,SN Number,Hiện tượng,維修方式,Hạng mục lỗi,維修數量,維修工時,節省金額/USD,結果
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20221205-245,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20221205-182,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20210315-094,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20210315-088,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20221205-008,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20221205-072,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-14,TypeC類,TypeC2,TPE-20221205-276,FW更新,FW更新,FW更新,1.0,1.5,,OK
CHV,CHVP2,A31,2024-11-15,TypeC類,TypeC3,TPE-20210623-052,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-15,TypeC類,TypeC3,TPE-20210623-084,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-16,USB類,簡易USB,KS-20190828-159,接口損壞,更換CONN-DOCKING B,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-18,HDMI類,HDMI2.1,TPE-20220815-045,NTF,NTF,人為誤判,1.0,2.0,,OK
CHV,CHVP2,A31,2024-11-18,HDMI類,HDMI2.1,TPE-20220815-054,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-19,TypeC類,TypeC2,TPE-20210315-274,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-19,TypeC類,TypeC2,TPE-20221205-073,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG-报废
CHV,CHVP2,A31,2024-11-20,TypeC類,TypeC2,TPE-20210315-010,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-20,TypeC類,TypeC2,TPE-20221205-261,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-21,USB類,簡易USB,KS-20190313-213,接口損壞,更換CONN-DOCKING C,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-21,HDMI類,HDMI2.1,TPE-20220815-049,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-21,HDMI類,HDMI2.1,TPE-20220815-053,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-22,TypeC類,TypeC2,TPE-20221205-109,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-22,TypeC類,TypeC2,TPE-20221205-095,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-23,HDMI類,HDMI2.0,TPE-20201109-070,IC損壞,更換 IC RDU2-TMDS181,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-23,DP類 ,DP1.4,TPE-20210621-011,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2024-11-23,HDMI類,HDMI2.1,TPE-20220815-048,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-23,HDMI類,HDMI2.1,TPE-20230816-055,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-23,HDMI類,HDMI2.0,TPE-20230505-045,IC損壞,更換 IC RDU2-TMDS181,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-25,TypeC類,TypeC2,TPE-20210315-082,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-25,TypeC類,TypeC2,TPE-20221205-195,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-25,TypeC類,TypeC2,TPE-20210315-047,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-25,TypeC類,TypeC2,TPE-20210315-132,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-26,TypeC類,TypeC3,TPE-20240527-124,SSD卡損壞,更换SSD卡-RETEST,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2024-11-27,TypeC類,TypeC2,TPE-20210315-015,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-27,TypeC類,TypeC2,TPE-20210315-031,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-27,TypeC類,TypeC2,TPE-20210315-112,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-27,TypeC類,TypeC2,TPE-20210315-041,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-28,TypeC類,TypeC2,TPE-20221205-272,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,NG-报废
CHV,CHVP2,A31,2024-11-28,TypeC類,TypeC2,TPE-20221205-158,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-29,TypeC類,TypeC2,TPE-20210315-049,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-29,TypeC類,TypeC2,TPE-20210315-278,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-29,TypeC類,TypeC2,TPE-20221205-274,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-29,TypeC類,TypeC2,TPE-20210315-002,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-29,TypeC類,TypeC2,TPE-20210315-056,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-30,TypeC類,TypeC2,TPE-20210315-004,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-11-30,TypeC類,TypeC2,TPE-20210315-279,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-02,TypeC類,TypeC2,TPE-20210315-036,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-02,HDMI類,HDMI2.0,TPE-20230822-010,IC損壞,更換IC TMDS181,自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2024-12-03,HDMI類,HDMI2.0,TPE-20230822-036,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2024-12-03,HDMI類,HDMI2.0,TPE-20230822-026,FW更新,FW更新,FW更新,1.0,1.0,,OK
